"Nuxe & Zaini",Like U (ft. b o b b i e)",
"Nymano",Women",
"Omar",Serene",
"Omarr",Chai",
"Omarr",Good Morning",
"Pandrezz",by the bridge at night (feat. nohone)",
"Pheeno",Rest",
"Porou",Sweet Dreams Love",
"Potsu",CHAM",
"Potsu",losing sight",
"Potsu",Oops",
"Prima",June Gloom",
"Probe",Stardust Walkway (Sonic Lofi)",
"Radiohead",No Surprises (Lo-Fi Remix)",
"Radiohead",No Surprises (Remix)",
"Redpest",Sleepy Time Beats",
"Rook1e",I Fell In Love With You One Night In September",
"RUDE",Eternal Youth",
"sad boy with a laptop",evergreen",
"Sad Boy With A Laptop",I Was Lost Until I Met You",
"Sad Boy With A Laptop",Portals To Mystical Worlds",
"sad boy with a laptop",you were so far away",
"Saik",Wet Season",
"Saiko",Sofia Drift",
"Sarcastic Sounds & Ezra",Thinking Of You",
"Sarcastic Sounds",I Don't Sleep",
"Satin",Unknown",
"Sinh",Poetry (Feat Natty Reeves)",
"Sleepdealer",Naturals",
"slipfunc",a spring without you",
"smuv",looped",
"Sonic Lofi",Green Chill Zone",
"Sonic Lofi",Low Spec Robo Go",
"Splatoon 2 Octo Expansion",8-Ball LoFi Hip Hop Remix",
"Super Mario World",Game Over LoFi Hip Hop Remix",
"SURF",Instant Brew",
"SURF",Take Care",
"THAIBEATS",Faithful",
"The Deli",5-32PM",
"The Deli",Flowers",
"the girl next door",come chill with me on some floating tropical island",
"the girl next door",the girl i once loved",
"through & through",blueberry jet",
"Treycitybeatz",Sonic Vibes",
"TV Blonde",Ocarina",
"Tymu",Walk With Me",
"Tysu",White Cherry (Feat Tenpo)",
"Unknown",Call me",
"Unknown",Couch Day (Original Mix)",
"Unknown",Easy",
"Unknown",Fools Paradise",
"Unknown",Home Before The Storm",
"Unknown",Imagine",
"Unknown",It Happens",
"Unknown",Light Strands",
"Unknown",Long Talks",
"Unknown",Time Stands Still",
"Video Game LoFi",DK Rap To Relax and Study To",
"Video Game LoFi",Grand Theft Auto III",
"Video Game LoFi",Ocarina of Time",
"Walterwarm",Do It For You",
"Ward Wills",La Cafeteria",
"Wunsche",Flower",
"wunsche",patience",
"Wunsche",Soulfood",
"Yusei",Do You Ever Miss The Old You",
"Yusei",I Was All About You",
"Zeeky Beats",Beside You",
"Zeeky Beats",Dream or Reality",
"Zeeky Beats",Follow Her",
"Zeeky Beats",Fresh Air",
"Zeeky Beats",Gone For Now",
"Zeeky Beats",Missed Calls",
